Num	Order	Ontology ID	LABEL	Vaccine Type	Cancer Type	Parent label	Parent	Gene names	NCBI GeneID	status of vaccine development	immunizes host	definition	PubMed (original)	PubMed	other link	VIOLIN ID	VIOLIN Link	GitHub tracker	NCI link	NCT link	Term editors	JZ notes
262	77	VO:0007261	Anti-GnRH Vaccine PEP223	Other	Prostate	prostate cancer vaccine	VO:0005425	Gene name: Gnhr1	14714	Clinical trial	Homo sapiens	"A peptide vaccine derived from the synthetic peptide pyroEHWSYGLRPG, corresponding to amino acids 22-31 of mouse gonadotropin releasing hormone (GnRH), with potential immunocastration activity. PEP223 is dimerized and contains a D-lysine (k) substitution at position 6 (pyroEHWSYkLRPG) to increase its immunogenicity. Anti-GnRH vaccine PEP223 may stimulate the immune system to mount a cytotoxic T-lymphocyte (CTL) response against GnRH, neutralizing its activity. In turn, testosterone production and tumor cell growth may be inhibited in testosterone-sensitive tumors."	NCT00895466			5405	VIOLIN: https://violinet.org/canvaxkb/vaccine_detail.php?c_vaccine_id=5405	https://github.com/vaccineontology/VO/issues/229		NCT: https://clinicaltrials.gov/ct2/show/NCT00895466	Ibrahim Seleznev|Eliyas Asfaw|Jie Zheng|Oliver He 	
263	78	VO:0007262	Anti-idiotype MUC-1 Monoclonal Antibody Vaccine	Subunit	Multiple/others	cancer vaccine	VO:0000177	Gene name: MUC1	4582	Clinical trial	Homo sapiens	"A monoclonal antibody that functionally mimics MUC-1 antigen, a tumor cell surface antigen. Administration of anti-idiotype MUC-1 monoclonal antibody may elicit an anti-idiotype antibody and corresponding T-cell response against MUC-1 expressing tumor cells."	https://www.sciencedirect.com/science/article/pii/S0923753419609087	PubMed:15550589		5175	VIOLIN: https://violinet.org/canvaxkb/vaccine_detail.php?c_vaccine_id=5175	https://github.com/vaccineontology/VO/issues/230			Ibrahim Seleznev|Eliyas Asfaw|Jie Zheng|Oliver He 	
264	79	VO:0007263	Anti-Idiotype Specified Monoclonal Antibody Vaccine	Subunit		cancer vaccine	VO:0000177			Clinical trial	Homo sapiens	"A synthetic antibody produced by a genetically homogenous population of hybrid cells (hybridoma) against determinant idiotypes (Id) which usually mimic human epitopes. Anti-Id vaccines may be effective in the treatment of B-cell lymphomas, resulting in tumor regression. Anti-idiotype vaccine therapy is less likely to induce autoimmunity if the target antigen is not normally expressed on normal tissues. Monoclonal antibodies have become powerful tools for tumor targeting, recognizing different protein markers on certain cancer cells and may be used alone or as delivery agents for drugs, toxins or radioactive material targeted to tumors."				5301	VIOLIN: https://violinet.org/canvaxkb/vaccine_detail.php?c_vaccine_id=5301	https://github.com/vaccineontology/VO/issues/231			Ibrahim Seleznev|Eliyas Asfaw|Jie Zheng|Oliver He 	
265	80	VO:0007264	anti-idiotypic (anti-id) mAb MK2-23 + BCG	: Anti-idiotypic vaccine	Melanoma	melanoma vaccine	VO:0000422			Clinical trial	Homo sapiens		https://pubmed.ncbi.nlm.nih.gov/9816036/	PubMed:/9816036		4015	VIOLIN: https://violinet.org/canvaxkb/vaccine_detail.php?c_vaccine_id=4015	https://github.com/vaccineontology/VO/issues/232			Ibrahim Seleznev|Eliyas Asfaw|Jie Zheng|Oliver He 	
266	81	VO:0007265	Anti-idiotypic Monoclonal Antibody BEC2 Vaccine	Subunit	Melanoma	melanoma vaccine	VO:0000422			Clinical trial	Homo sapiens	"A murine anti-idiotypic monoclonal antibody (anti-Id MoAb) that is directed against an idiotype mimicking a disialoganglioside GD3. GD3 represents a major surface marker on most human melanoma cells. Due to poor immunogenicity of GD3, anti-Id MoAb BEC2 (Ab2) was raised against a mouse anti-GD3 MoAb, R24 (Ab1). This anti-Id MoAb was shown to be functionally mimicking GD3 in stimulating an immune response to produce Ab3 that may be used in combination with other adjuvants for treatment of melanomas."				5433	VIOLIN: https://violinet.org/canvaxkb/vaccine_detail.php?c_vaccine_id=5433	https://github.com/vaccineontology/VO/issues/233			Ibrahim Seleznev|Eliyas Asfaw|Jie Zheng|Oliver He 	
267	82	VO:0007266	Anti-NY-ESO-1 Immunotherapeutic GSK-2241658A Vaccine	Other	Melanoma	melanoma vaccine	VO:0000422	Gene name: NY-ESO-1	1485	Clinical trial	Homo sapiens	"An immunotherapeutic agent targeting the tumor-associated antigen (TAA), cancer/testis antigen NY-ESO-1, with potential antineoplastic activity."				5485	VIOLIN: https://violinet.org/canvaxkb/vaccine_detail.php?c_vaccine_id=5485	https://github.com/vaccineontology/VO/issues/234			Ibrahim Seleznev|Eliyas Asfaw|Jie Zheng|Oliver He 	
268	83	VO:0007267	Anti-NY-ESO1 TCR-transduced Autologous CD62L+-derived T-Lymphocytes Vaccine	Recombinant vector vaccine	Multiple/others	cancer vaccine	VO:0000177	Gene name: NY-ESO-1|Gene name: CTAG2	1485|30484	Clinical trial	Homo sapiens	"Human autologous CD62L-positive T-lymphocytes transduced with a retroviral vector encoding a T cell receptor (TCR) specific for the cancer-testis antigen NY-ESO-1, with potential antineoplastic activity. Following leukapheresis, isolation of lymphocytes, expansion ex vivo, transduction, and reintroduction into the patient, the anti-NY-ESO1 TCR-transduced autologous CD62L+-derived T-Lymphocytes bind to NY-ESO-1-overexpressing tumor cells. This may result in cytotoxic T-lymphocyte (CTL)-mediated elimination of NY-ESO-1-positive cancer cells. NY-ESO-1, a tumor associated antigen (TAA), is found in normal testis and on the surface of various tumor cell types. CD62L, also called L-selectin, is a lymphoid homing receptor and differentiation marker and is expressed on a subset of CD8-positive T-lymphocytes; it is involved in the migration of T-lymphocytes to lymph nodes and may improve the efficacy for ex vivo-expanded T-cells following adoptive cell therapy."				5081	VIOLIN: https://violinet.org/canvaxkb/vaccine_detail.php?c_vaccine_id=5081	https://github.com/vaccineontology/VO/issues/235			Ibrahim Seleznev|Eliyas Asfaw|Jie Zheng|Oliver He 	
269	84	VO:0007268	Anti-p53 T-Cell Receptor-Transduced Peripheral Blood Lymphocytes Vaccine	Recombinant vector vaccine	Multiple/others	cancer vaccine	VO:0000177	Gene name: TP53 (P53)	7157	Clinical trial	Homo sapiens	"Human autologous peripheral blood lymphocytes (PBLs) transduced with an anti-p53 T cell receptor gene with potential antineoplastic activity. PBLs are harvested from a patient and pulsed with a retroviral vector that encodes the T-cell receptor gene specific for a mutated form of p53. The transduced PBLs are then expanded in culture. When reintroduced to the patient, these modified PBLs express the anti-p53 T cell receptor which binds to mutant p53-overexpressing tumor cells; PBL-mediated tumor growth inhibition may follow. Many tumor cell types overexpress mutant p53 proteins, which are associated with the loss of apoptosis regulation and abnormal cell proliferation."	NCT00393029			5447	VIOLIN: https://violinet.org/canvaxkb/vaccine_detail.php?c_vaccine_id=5447	https://github.com/vaccineontology/VO/issues/236		NCT: https://clinicaltrials.gov/ct2/show/NCT00393029	Ibrahim Seleznev|Eliyas Asfaw|Jie Zheng|Oliver He 	
270	85	VO:0007269	Anti-PRAME Immunotherapeutic GSK2302032A Vaccine	Other	Lung	lung cancer vacine	VO:0005486	Gene name: PRAME	23532	Clinical trial	Homo sapiens	"An immunotherapeutic agent targeting the tumor-associated antigen (TAA), preferentially expressed antigen of melanoma (PRAME), with potential antineoplastic activity."	https://clinicaltrials.gov/ct2/show/NCT01853878			5361	VIOLIN: https://violinet.org/canvaxkb/vaccine_detail.php?c_vaccine_id=5361	https://github.com/vaccineontology/VO/issues/237		NCT: https://clinicaltrials.gov/ct2/show/NCT01853878	Ibrahim Seleznev|Eliyas Asfaw|Jie Zheng|Oliver He 	
271	86	VO:0007270	Antigen-targeted Personalized Breast Cancer Vaccine	Subunit	Breast	Breast Cancer Vaccine	VO:0005484	Gene name: gp100 (PMEL)	6490	Clinical trial	Homo sapiens	"An individualized, therapeutic cancer vaccine (IVAC) composed of liposomes containing RNA encoding two or three tumor associated antigens (TAAs) that are specifically expressed in the patient's individual cancer selected from a warehouse (""""off the shelf"""") and p53 RNA, with potential immunostimulatory and antineoplastic activities. Upon administration, the antigen-targeted personalized breast cancer vaccines are translated by antigen presenting cells (APCs) and the expressed protein is presented via major histocompatibility complex (MHC) molecules on the surface of the APCs. This leads to an induction of both cytotoxic T-lymphocyte (CTL) and memory T-cell immune responses against the TAAs. The RNAs in the vaccine are specifically selected for an individual patient after RNA profiling of the patient's tumor."				5138	VIOLIN: https://violinet.org/canvaxkb/vaccine_detail.php?c_vaccine_id=5138	https://github.com/vaccineontology/VO/issues/238			Ibrahim Seleznev|Eliyas Asfaw|Jie Zheng|Oliver He 	
272	87	VO:0007271	APC8015F Vaccine	Recombinant vector vaccine	Prostate	prostate cancer vaccine	VO:0005425	Gene name: ACPP|Gene name: Prostate|Gene name: KLK3	55|2346|354	Clinical trial	Homo sapiens	"A cell-based vaccine composed of previously frozen autologous antigen-presenting peripheral blood mononuclear cells (enriched for a dendritic cell fraction) that have been exposed to a recombinant protein consisting of granulocyte-macrophage colony-stimulating factor (GM-CSF) fused to prostatic-acid phosphatase (PAP), a protein expressed by prostate cancer cells. Upon administration, the vaccine may stimulate an antitumor T-cell response against tumor cells expressing PAP."	https://clinicaltrials.gov/ct2/show/NCT01133704			5420	VIOLIN: https://violinet.org/canvaxkb/vaccine_detail.php?c_vaccine_id=5420	https://github.com/vaccineontology/VO/issues/239		NCT: https://clinicaltrials.gov/ct2/show/NCT01133704	Ibrahim Seleznev|Eliyas Asfaw|Jie Zheng|Oliver He 	
273	88	VO:0007272	Apoptotic Autologous Tumor Cells-pulsed Alpha-type-1 Polarized Dendritic Cells Vaccine	Recombinant vector vaccine	Breast	Breast Cancer Vaccine	VO:0005484			Clinical trial	Homo sapiens	"A cell based cancer vaccine composed of mature polarized dendritic cells (DCs) and pulsed with apoptotic autologous tumor cells that has potential immunostimulating and antineoplatic activities. Dendritic cells (DCs) were treated with interleukin-1beta, tumor necrosis factor alpha, interferon-alpha (IFN-a), IFN-gamma and polyinosinic:polycytidylic acid (p-I:C) to produce mature alpha type-1 polarized DCs (alphaDC1) that are capable of producing high levels of interleukin-12p70 (IL-12p70). The alphaDC1 are subsequently pulsed with apoptotic autologous tumor cells. Upon administration, these DCs are able to induce a potent cytotoxic T lymphocyte (CTL) response against tumor associated antigens (TAAs), resulting in tumor cell lysis and inhibition of tumor cell growth. Apoptotic tumor cells contain an array of TAAs"	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3072536/	PubMed:21509164		5222	VIOLIN: https://violinet.org/canvaxkb/vaccine_detail.php?c_vaccine_id=5222	https://github.com/vaccineontology/VO/issues/240			Ibrahim Seleznev|Eliyas Asfaw|Jie Zheng|Oliver He 	
274	89	VO:0007273	attenuated Listeria expressing cancer antigen vaccine	Recombinant vector vaccine	Cervical	cervical cancer vaccine	VO:0005488	Gene name: E7	1489079	Clinical trial	Homo sapiens		https://pubmed.ncbi.nlm.nih.gov/28706878/	PubMed:28706878		3081	VIOLIN: https://violinet.org/canvaxkb/vaccine_detail.php?c_vaccine_id=3081	https://github.com/vaccineontology/VO/issues/241			Ibrahim Seleznev|Eliyas Asfaw|Jie Zheng|Oliver He 	
275	90	VO:0007274	AUT-OV-ALVAC-hB7.1 Vaccine	Other	Ovarian	ovarian cancer vaccine	VO:0005493	Gene name: env	155971	Clinical trial	Homo sapiens	A vaccine comprised of autologous epithelial ovarian cells infected with ALVAC-hB7.1	https://www.clincosm.com/trial/recurrent-ovarian-epithelial-cancer-houston-alvac-hb71-recombinant		https://www.clincosm.com/trial/recurrent-ovarian-epithelial-cancer-houston-alvac-hb71-recombinant	5319	VIOLIN: https://violinet.org/canvaxkb/vaccine_detail.php?c_vaccine_id=5319	https://github.com/vaccineontology/VO/issues/242			Ibrahim Seleznev|Eliyas Asfaw|Jie Zheng|Oliver He 	
276	91	VO:0007275	Autologous Ad-CD154-Transduced CLL B Cells Vaccine	Recombinant vector vaccine	Leukemia	leukemia cancer vaccine	VO:0005487	Gene name: CD40LG	959	Clinical trial	Homo sapiens	"An autologous tumor cell vaccine containing chronic lymphocytic leukemia (CLL) B cells transduced with an adenoviral vector carrying chimeric CD154 (ad-CD154) with potential antineoplastic activity. Administration of autologous ad-CD154 transduced CLL B cells may result in increases in the numbers of leukemia-specific CD4+ T cells and high serum-levels of IL-12 and IFN-gamma. Due to ligation of CD154 to CD40 on CLL cells, this agent may induce CLL cells to express the proapoptotic molecule BID and death receptors CD95 (Fas) and DR5, rendering CLL B cells first resistant and then sensitive to Fas-mediated apoptosis. In addition, autologous ad-CD154 transduced CLL B cells may induce MHC class I-dependent cytotoxic T lymphocyte (CTL) responses against autologous leukemia cells. CD154 is a type II membrane glycoprotein and ligand for CD40; both molecules are important in cognate co-stimulatory cell-cell interactions."	https://clinicaltrials.gov/ct2/show/NCT00779883			5053	VIOLIN: https://violinet.org/canvaxkb/vaccine_detail.php?c_vaccine_id=5053	https://github.com/vaccineontology/VO/issues/243		NCT: https://clinicaltrials.gov/ct2/show/NCT00779883	Ibrahim Seleznev|Eliyas Asfaw|Jie Zheng|Oliver He 	
277	92	VO:0007276	Autologous Anti-gp100:154-162 T-Cell Receptor Gene-Engineered Peripheral Blood Lymphocytes Vaccine	Recombinant vector vaccine	Melanoma	melanoma vaccine	VO:0000422	Gene name: gp100 (PMEL)	6490	Clinical trial	Homo sapiens	"Human autologous peripheral blood lymphocytes (PBLs) transduced with a glycoprotein 100 (gp100) epitope-determined T cell receptor (TCR) gene, with potential antineoplastic activity. PBLs are isolated from a melanoma patient and pulsed with a viral vector encoding the TCR specific for amino acid residues 154-162 of gp100 (KTWGQYWQV). After expansion ex vivo, the transduced autologous PBLs, expressing this specific TCR, are reintroduced into the patient and bind to melanoma cells expressing the gp100 protein, which may result in specific cytotoxic T-lymphocyte (CTL) killing of gp100-expressing melanoma cells. gp100 is a melanocyte lineage-specific antigen overexpressed in melanomas."	https://clinicaltrials.gov/ct2/show/NCT00509496			5507	VIOLIN: https://violinet.org/canvaxkb/vaccine_detail.php?c_vaccine_id=5507	https://github.com/vaccineontology/VO/issues/244		NCT: https://clinicaltrials.gov/ct2/show/NCT00509496	Ibrahim Seleznev|Eliyas Asfaw|Jie Zheng|Oliver He 	
278	93	VO:0007277	Autologous Anti-MART-1 F5 T-Cell Receptor Gene-Engineered Peripheral Blood Lymphocytes Vaccine	Recombinant vector vaccine	Melanoma	melanoma vaccine	VO:0000422	Gene name: MLANA	2315	Clinical trial	Homo sapiens	"Human autologous peripheral blood lymphocytes (PBLs) transduced with a melanoma antigen MART-1 epitope-determined T cell receptor (TCR) gene, with potential antineoplastic activity. PBLs are isolated from a melanoma patient and pulsed with a viral vector that encodes the TCR specific for an epitope of MART-1 (F5 TCR). After expansion ex vivo, the transduced autologous PBLs, expressing this specific TCR, are reintroduced into the patient, and bind to melanoma cells expressing the MART-1 antigen, which may result in specific cytotoxic T-lymphocyte (CTL) killing of MART-1-expressing melanoma cells. MART-1 (melanoma antigen recognized by T cells 1), also known as Melan-A, is a melanocyte lineage-specific transmembrane protein."	https://clinicaltrials.gov/ct2/show/NCT00509288			5293	VIOLIN: https://violinet.org/canvaxkb/vaccine_detail.php?c_vaccine_id=5293	https://github.com/vaccineontology/VO/issues/245		NCT: https://clinicaltrials.gov/ct2/show/NCT00509288	Ibrahim Seleznev|Eliyas Asfaw|Jie Zheng|Oliver He 	
279	94	VO:0007278	Autologous CD133-Positive BTSC mRNA-Pulsed Autologous Dendritic Cell V Vaccine	Recombinant vector vaccine	Brain	brain cancer vacine	VO:0005428	Gene name: PROM1	8842	Clinical trial	Homo sapiens	"A cancer vaccine consisting of autologous dendritic cells (DCs) loaded with CD133-positive autologous brain tumor stem cells (BTSCs) -derived mRNA with potential immunostimulatory and antineoplastic activities. Upon intradermal administration, autologous CD133-positive BTSC mRNA-pulsed autologous dendritic cell vaccine may elicit a cytotoxic T-lymphocyte (CTL) response against the CD133-positive BTSCs from which the autologous tumor mRNA is derived. CD133, a tumor-associated antigen (TAA) and neural stem cell marker, has been found on a specific subset of glioblastoma multiforme (GBM) stem cells; its presence has been correlated with resistance to conventional chemotherapy and radiotherapy."	https://mhlw-grants.niph.go.jp/system/files/2013/134041/201328051A/201328051A0017.pdf		https://mhlw-grants.niph.go.jp/system/files/2013/134041/201328051A/201328051A0017.pdf	5463	VIOLIN: https://violinet.org/canvaxkb/vaccine_detail.php?c_vaccine_id=5463	https://github.com/vaccineontology/VO/issues/246			Ibrahim Seleznev|Eliyas Asfaw|Jie Zheng|Oliver He 	
280	95	VO:0007279	Autologous CD40L-expressing B-CLL Vaccine	Recombinant vector vaccine	Leukemia	leukemia cancer vaccine	VO:0005487	Gene name: CD40LG	959	Clinical trial	Homo sapiens	"A cancer vaccine consisting of autologous, B-chronic lymphocytic leukemia (B-CLL) cells harvested from a patient and transduced with an adenoviral vector encoding the gene for the human CD40 ligand (CD40L; TRAP; CD154), with potential immunostimulating and antineoplastic activities. Upon reintroduction into the patient, the autologous CD40L-expressing B-CLL vaccine expresses the co-stimulatory molecule CD40L, which binds to its cognate receptor, CD40, on antigen presenting cells (APC). This induces apoptosis, stimulates maturation and proliferation of APCs, and facilitates a cytotoxic T-lymphocyte (CTL) response against tumor cells. CD40L is a type II membrane protein that binds to CD40, which is a cell surface receptor that belongs to the tumor necrosis factor (TNF) receptor superfamily."				5174	VIOLIN: https://violinet.org/canvaxkb/vaccine_detail.php?c_vaccine_id=5174	https://github.com/vaccineontology/VO/issues/247			Ibrahim Seleznev|Eliyas Asfaw|Jie Zheng|Oliver He 	
281	96	VO:0007280	Autologous Colorectal Tumor Antigen-pulsed Dendritic Cell Vaccine	Recombinant vector vaccine	Colon	colon cancer vacine	VO:0005489	Gene name: AFP	174	Clinical trial	Homo sapiens	"A dendritic cell (DC)-based cancer vaccine composed of autologous DCs pulsed with tumor cell lysates from a colorectal cancer patient containing tumor-associated antigens (TAAs), with potential immunostimulatory and antineoplastic activities. Upon administration, autologous colorectal tumor antigen-pulsed DC vaccine exposes the immune system to colorectal tumor cell antigens, which may result in cytotoxic T-lymphocyte (CTL)-mediated immune responses against the colorectal cancer cells. This leads to cancer cell lysis. The tumor cell lysate contains a range of antigens that are essential for the neoplastic growth and survival of the cancer cells."				5150	VIOLIN: https://violinet.org/canvaxkb/vaccine_detail.php?c_vaccine_id=5150	https://github.com/vaccineontology/VO/issues/248			Ibrahim Seleznev|Eliyas Asfaw|Jie Zheng|Oliver He 	
282	97	VO:0007281	Autologous CT7/MAGE-A3/WT1 mRNA-Electroporated Langerhans-Type Dendritic Cells Vaccine	Recombinant vector vaccine	Myeloma	myeloma cancer vaccine	VO:0005492	Gene name: WT1	7490	Clinical trial	Homo sapiens	"An autologous tumor cell vaccine containing CD34+ hematopoietic progenitor cell (HPC)-derived Langerhans-type dendritic cells (LCs) electroporated with mRNA encoding the full-length cancer-testis antigens, CT7 and melanoma-associated antigen 3 (MAGE-A3), and the self-differentiation tumor antigen, Wilms tumor 1 (WT1) with potential immunomodulating and antineoplastic activity. The autologous CT7/MAGE-A3/WT1 mRNA-electroporated Langerhans-type dendritic cells are prepared by drawing a blood sample containing the CD34+ HPCs from a cancer patient. The CD34+ HPCs are treated with a combination of cytokines which specifically support LC development, and the LC population is enriched and expanded ex vivo. The cultured LCs are allowed to mature for one day and then electroporated separately with CT7, MAGE-A3 or WT1 mRNA before final maturation. Upon intradermal administration into the patient, the mature LCs may activate cell-mediated immunity and induce both cytotoxic CD8+ T cells and CD4+ helper T cells against cancer cells expressing CT7, MAGE-A3 and WT1 tumor antigens. This may result in the immune-mediated inhibition of tumor cell proliferation, leading to tumor cell death. CT7 and MAGE-A3 are tumor-specific proteins overexpressed in a number of cancers but not in healthy tissues other than testis and placenta. WT1 is a transcription factor important in development and cancer pathogenesis, which is overexpressed in a variety of cancers, including multiple myeloma, leukemia, ovarian cancer, malignant mesothelioma, neural tumors and renal carcinoma."	https://clinicaltrials.gov/ct2/show/NCT01995708			5128	VIOLIN: https://violinet.org/canvaxkb/vaccine_detail.php?c_vaccine_id=5128	https://github.com/vaccineontology/VO/issues/249		NCT: https://clinicaltrials.gov/ct2/show/NCT01995708	Ibrahim Seleznev|Eliyas Asfaw|Jie Zheng|Oliver He 	
283	98	VO:0007282	autologous dendritic cell vaccine (DCV)	Dendritic cell vaccine	Multiple/others	cancer vaccine	VO:0000177			Clinical trial	Homo sapiens		"http://www.ncbi.nlm.nih.gov/pubmed/22774527, https://pubmed.ncbi.nlm.nih.gov/34862245/, https://pubmed.ncbi.nlm.nih.gov/31771601/"	PubMed:22774527|PubMed:34862245|PubMed:31771601		3967	VIOLIN: https://violinet.org/canvaxkb/vaccine_detail.php?c_vaccine_id=3967	https://github.com/vaccineontology/VO/issues/250			Ibrahim Seleznev|Eliyas Asfaw|Jie Zheng|Oliver He 	"DCV, alternative label?"
284	99	VO:0007283	Autologous Dendritic Cell Vaccine ACT2001	Recombinant vector vaccine	Mesothelioma	mesothelioma cancer vacine	VO:0005491	Gene name: CD40	958	Clinical trial	Homo sapiens	"A cell-based cancer vaccine composed of autologous, immature dendritic cells (DCs), with potential immunostimulating and antineoplastic activities. Upon leukapheresis, immature DCs are isolated and re-administered intra-tumorally. The immature DCs internalize and process the tumor-associated antigens (TAAs), migrate to the lymphatic system, and then expose the immune system to the TAAs. This induces a specific cytotoxic T-lymphocyte (CTL) response against the cancer cells leading to tumor cell lysis."	https://clinicaltrials.gov/ct2/show/NCT02649829			5058	VIOLIN: https://violinet.org/canvaxkb/vaccine_detail.php?c_vaccine_id=5058	https://github.com/vaccineontology/VO/issues/251		NCT: https://clinicaltrials.gov/ct2/show/NCT02649829	Ibrahim Seleznev|Eliyas Asfaw|Jie Zheng|Oliver He 	subClass of DCV?
285	100	VO:0007284	Autologous Dendritic Cell-Adenovirus CCL21 Vaccine	Recombinant vector vaccine	Lung	lung cancer vacine	VO:0005486	Gene name: CCL21	6366	Clinical trial	Homo sapiens	"A cancer vaccine comprised of autologous dendritic cells (DCs) that have been transduced ex vivo with an adenoviral vector containing the CCL21 gene with potential immunostimulatory and antineoplastic activities. Upon intratumoral administration, autologous dendritic cell-adenovirus CCL21 vaccine expresses the chemokine CCL21, which may induce an antitumoral cytotoxic immune response in the tumor microenvironment. CCL21 [chemokine (C-C motif) ligand 21] has been shown to attract antigen presenting cells (APCs), like leukocytes and DCs, and natural killer (NK) cells and their T-cell effectors to induce a cytotoxic immune response."	https://clinicaltrials.gov/ct2/show/NCT03546361			5030	VIOLIN: https://violinet.org/canvaxkb/vaccine_detail.php?c_vaccine_id=5030	https://github.com/vaccineontology/VO/issues/252		NCT: https://clinicaltrials.gov/ct2/show/NCT03546361	Ibrahim Seleznev|Eliyas Asfaw|Jie Zheng|Oliver He 	subClass of DCV?
286	101	VO:0007285	Autologous Dendritic Cell-Adenovirus P53 Vaccine	Recombinant vector vaccine	Multiple/others	cancer vaccine	VO:0000177	Gene name: TP53 (P53)	7157	Clinical trial	Homo sapiens	"An autologous vaccine composed of dendritic cells (DC) that have been transduced with a p53 tumor suppressor gene-modified virus. When the autologous dendritic cell-adenovirus p53 vaccine is administered, the host cytotoxic T lymphocytes (CTL) are directed against p53-positive tumor cells, which may result in tumor cell death and decreased tumor growth."	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5839376/, https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3146364/"	PubMed:29515795|PubMed:20420527		5088	VIOLIN: https://violinet.org/canvaxkb/vaccine_detail.php?c_vaccine_id=5088	https://github.com/vaccineontology/VO/issues/253			Ibrahim Seleznev|Eliyas Asfaw|Jie Zheng|Oliver He 	subClass of DCV?
287	102	VO:0007286	Autologous Dendritic Cell-Allogeneic Melanoma Tumor Cell Lysate Vaccine	Recombinant vector vaccine	Melanoma	melanoma vaccine	VO:0000422	Gene name: MLANA|Gene name: gp100 (PMEL)|Gene name: MAGEA3	2315|6490|4102	Clinical trial	Homo sapiens	"A cell-based vaccine composed of autologous dendritic cells (DCs) pulsed with lysates from heat-treated allogeneic melanoma tumor cells. Upon administration, this vaccine may stimulate anti-tumoral cytotoxic T-cell and antibody responses to melanoma cells bearing shared melanoma antigens such as MelanA/MART-1, gp100, MAGE3, resulting in tumor cell lysis."				5495	VIOLIN: https://violinet.org/canvaxkb/vaccine_detail.php?c_vaccine_id=5495	https://github.com/vaccineontology/VO/issues/254			Ibrahim Seleznev|Eliyas Asfaw|Jie Zheng|Oliver He 	subClass of DCV?
288	103	VO:0007287	Autologous Dendritic Cell-Autologous Tumor mRNA-Human CD40L Vaccine	Recombinant vector vaccine	Colon	colon cancer vacine	VO:0005489	Gene name: gp100 (PMEL)	6490	Clinical trial	Homo sapiens	"cancer vaccine consisting of autologous dendritic cells transfected with autologous tumor mRNA and the human CD40 ligand (CD40L) gene with immunostimulatory and antitumor activities. Vaccination with autologous dendritic cell-autologous tumor mRNA-human CD40L vaccine may elicit a cytotoxic T cell response against tumor cells from which the autologous tumor mRNA was derived. When expressed by dendritic cells, tumor antigens and the co-stimulatory molecule CD40L, which binds to CD40 receptors on antigen presenting cells (APC), facilitate both humoral and cellular immune responses against tumor cells."	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2994719/	PubMed:20884622		5066	VIOLIN: https://violinet.org/canvaxkb/vaccine_detail.php?c_vaccine_id=5066	https://github.com/vaccineontology/VO/issues/255			Ibrahim Seleznev|Eliyas Asfaw|Jie Zheng|Oliver He 	subClass of DCV?
289	104	VO:0007288	Autologous Dendritic Cell-based Immunotherapeutic AV0113 Vaccine	Recombinant vector vaccine	Brain	brain cancer vacine	VO:0005428			Clinical trial	Homo sapiens	"A therapeutic interleukin-12 (IL-12)-expressing dendritic cell (DC)-based vaccine composed of autologous monocyte-derived DCs loaded with autologous tumor cell lysate and exposed to the microbial cell wall component lipopolysaccharide (LPS), with potential immunomodulating and antineoplastic activities. The monocyte-derived immature DCs are loaded with autologous tumor cell lysates and are subsequently exposed to LPS and interferon-gamma (IFN-gamma). Upon administration of autologous DC-based immunotherapeutic AV0113, the mature DCs migrate into the lymph nodes, express the immune stimulatory cytokine interleukin-12 (IL-12) and activate the immune system by promoting the activation of natural killer (NK) cells and induce a cytotoxic T-lymphocyte (CTL)-mediated immune response against tumor cells, which may result in immune-mediated tumor cell death and inhibition of tumor cell proliferation. Exposure to LPS and IFN-gamma allows the maturation of DCs and optimizes the presentation of tumor-associated antigens (TAAs) by DCs to T-lymphocytes."	https://ascopubs.org/doi/10.1200/jco.2014.32.15_suppl.2052		https://ascopubs.org/doi/10.1200/jco.2014.32.15_suppl.2052	5284	VIOLIN: https://violinet.org/canvaxkb/vaccine_detail.php?c_vaccine_id=5284	https://github.com/vaccineontology/VO/issues/256			Ibrahim Seleznev|Eliyas Asfaw|Jie Zheng|Oliver He 	subClass of DCV?
290	105	VO:0007289	Autologous Dendritic Cell-Tumor Fusion Vaccine	Recombinant vector vaccine	Myeloma	myeloma cancer vaccine	VO:0005492	Gene name: MUC1|Gene name: CD38|Gene name: SDC1	4582|952|6382	Clinical trial	Homo sapiens	"A therapeutic cancer vaccine consisting of autologous dendritic cells (DCs) fused with autologous tumor cells with potential immunostimulatory and antineoplastic activities. Autologous dendritic cell-tumor fusion vaccine is generated in vitro by mixing DCs and irradiated tumor cells harvested from individual patients and treating them with polyethylene glycol (PEG) to produce DC-tumor cell fusion hybrid cells. Upon administration, autologous dendritic cell-tumor fusion vaccine may elicit antitumor humoral and cellular immune responses."	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3755905/	PubMed:23685836		5055	VIOLIN: https://violinet.org/canvaxkb/vaccine_detail.php?c_vaccine_id=5055	https://github.com/vaccineontology/VO/issues/257			Ibrahim Seleznev|Eliyas Asfaw|Jie Zheng|Oliver He 	subClass of DCV?
