[class]	label
<http://purl.obolibrary.org/obo/VO_0003813>	influenza A virus A/Bolivia/559/2013 (H1N1) antigen 50000000 MG/ML / influenza A virus A/New Caledonia/71/2014 (H3N2) antigen 50000000 MG/ML / influenza B virus B/Brisbane/60/2008 antigen 50000000 MG/ML / influenza B virus B/Phuket/3073/2013 antigen 50000000 MG/ML [Flumist Quadrivalent 2016-2017]
<http://purl.obolibrary.org/obo/VO_0003814>	FluMist Quadrivalent, 2016-2017 Formula Nasal Spray
<http://purl.obolibrary.org/obo/VO_0003815>	influenza A virus A/New Caledonia/71/2014 (H3N2) antigen 158000000 UNT/ML / influenza A virus A/Slovenia/2903/2015 (H1N1) antigen 158000000 UNT/ML / influenza B virus B/Brisbane/60/2008 antigen 158000000 UNT/ML / influenza B virus B/Phuket/3073/2013 antigen 158000000 UNT/ML [Flumist Quadrivalent 2017-2018]
<http://purl.obolibrary.org/obo/VO_0003816>	FluMist Quadrivalent, 2017-2018 Formula Nasal Spray
<http://purl.obolibrary.org/obo/VO_0003820>	Flumist Quadrivalent 2018-2019
<http://purl.obolibrary.org/obo/VO_0003823>	influenza A virus A/Singapore/INFIMH-16-0019/2016 (H3N2) antigen 158000000 UNT/ML / influenza A virus A/Slovenia/2903/2015 (H1N1) antigen 158000000 UNT/ML / influenza B virus B/Colorado/06/2017 antigen 158000000 UNT/ML / influenza B virus B/Phuket/3073/2013 antigen 158000000 UNT/ML [Flumist Quadrivalent 2018-2019]
<http://purl.obolibrary.org/obo/VO_0003824>	FluMist Quadrivalent, 2018-2019 Formula Nasal Spray
<http://purl.obolibrary.org/obo/VO_0003826>	Havrix Injectable Product
<http://purl.obolibrary.org/obo/VO_0003827>	Hepatitis A Vaccine (Inactivated) Strain HM175 1440 UNT/ML [Havrix]
<http://purl.obolibrary.org/obo/VO_0003828>	HAVRIX pediatric/adolescent vaccine 720 UNT in 0.5 ML Injection
<http://purl.obolibrary.org/obo/VO_0003829>	HAVRIX adult vaccine 1440 UNT in 1 ML Injection
<http://purl.obolibrary.org/obo/VO_0003830>	HAVRIX Injection
<http://purl.obolibrary.org/obo/VO_0003831>	Havrix, Hepatitis A Vaccine (Inactivated), (Pediatric Dose) 0.5 ML Prefilled Syringe
<http://purl.obolibrary.org/obo/VO_0003832>	Havrix, Hepatitis A Vaccine (Inactivated), (Adult Dose) 1 ML Prefilled Syringe
<http://purl.obolibrary.org/obo/VO_0003833>	Havrix Prefilled Syringe
<http://purl.obolibrary.org/obo/VO_0003838>	PEDIARIX Injectable Product
<http://purl.obolibrary.org/obo/VO_0003839>	acellular pertussis vaccine, inactivated 0.116 MG/ML / diphtheria toxoid vaccine, inactivated 50 UNT/ML / Hepatitis B Surface Antigen Vaccine 0.02 MG/ML / poliovirus vaccine inactivated, type 1 (Mahoney) 80 UNT/ML / poliovirus vaccine inactivated, type 2 (MEF-1) 16 UNT/ML / poliovirus vaccine inactivated, type 3 (Saukett) 64 UNT/ML / tetanus toxoid vaccine, inactivated 20 UNT/ML [PEDIARIX]
<http://purl.obolibrary.org/obo/VO_0003840>	PEDIARIX vaccine Prefilled Syringe
<http://purl.obolibrary.org/obo/VO_0003841>	PEDIARIX vaccine 0.5 ML Prefilled Syringe
<http://purl.obolibrary.org/obo/VO_0003845>	Haemophilus influenzae type b strain 20752, capsular polysaccharide inactivated tetanus toxoid conjugate vaccine
<http://purl.obolibrary.org/obo/VO_0003846>	Ipol Injectable Product
<http://purl.obolibrary.org/obo/VO_0003847>	poliovirus vaccine inactivated, type 1 (Mahoney) 80 UNT/ML / poliovirus vaccine inactivated, type 2 (MEF-1) 16 UNT/ML / poliovirus vaccine inactivated, type 3 (Saukett) 64 UNT/ML [Ipol]
<http://purl.obolibrary.org/obo/VO_0003848>	IPOL vaccine Injectable Solution
<http://purl.obolibrary.org/obo/VO_0003850>	Typhim VI Injectable Product
<http://purl.obolibrary.org/obo/VO_0003851>	Typhoid Vi Polysaccharide Vaccine, S typhi Ty2 strain 0.05 MG/ML [Typhim VI]
<http://purl.obolibrary.org/obo/VO_0003852>	Typhim Vi Injectable Solution
<http://purl.obolibrary.org/obo/VO_0003853>	Typhim VI Prefilled Syringe
<http://purl.obolibrary.org/obo/VO_0003854>	Typhim Vi 0.5 ML Prefilled Syringe
<http://purl.obolibrary.org/obo/VO_0003859>	Imovax Injectable Product
<http://purl.obolibrary.org/obo/VO_0003860>	rabies virus vaccine wistar strain PM-1503-3M (Human), Inactivated 2.5 UNT/ML [Imovax]
<http://purl.obolibrary.org/obo/VO_0003861>	1 ML Imovax 2.5 UNT/ML Injection
<http://purl.obolibrary.org/obo/VO_0003864>	RabAvert Injectable Product
<http://purl.obolibrary.org/obo/VO_0003865>	rabies virus vaccine flury-lep strain 2.5 UNT/ML [RabAvert]
<http://purl.obolibrary.org/obo/VO_0003866>	1 ML RabAvert 2.5 UNT/ML Injection
<http://purl.obolibrary.org/obo/VO_0003867>	Hiberix Injectable Product
<http://purl.obolibrary.org/obo/VO_0003868>	Haemophilus influenzae type b strain 20752, capsular polysaccharide inactivated tetanus toxoid conjugate vaccine 0.07 MG/ML [Hiberix]
<http://purl.obolibrary.org/obo/VO_0003869>	HIBERIX vaccine 0.5 ML Injection
<http://purl.obolibrary.org/obo/VO_0003870>	Haemophilus influenzae type b strain 20752, capsular polysaccharide inactivated tetanus toxoid conjugate vaccine 0.07 MG/ML
<http://purl.obolibrary.org/obo/VO_0003871>	COMVAX Injectable Product
<http://purl.obolibrary.org/obo/VO_0003872>	COMVAX Injection 0.5 ML Injection
<http://purl.obolibrary.org/obo/VO_0003873>	Haemophilus influenzae b (Ross strain) capsular polysaccharide Meningococcal Protein Conjugate Vaccine 0.265 MG/ML / Hepatitis B Surface Antigen Vaccine 0.01 MG/ML [COMVAX]
<http://purl.obolibrary.org/obo/VO_0003874>	Flublok 2012-2013 Formula
<http://purl.obolibrary.org/obo/VO_0003875>	Flublok 2012-2013 Formula Injectable Product
<http://purl.obolibrary.org/obo/VO_0003876>	Flublok 2012-2013 Formula Influenza Virus Vaccine Injectable Solution
<http://purl.obolibrary.org/obo/VO_0003877>	Influenza A virus vaccine, A-California-7-2009 (H1N1)-like virus 0.09 MG/ML / Influenza A virus vaccine, A-Victoria-361-2011 (H3N2)-like virus 0.09 MG/ML / Influenza B virus vaccine, B-Wisconsin-1-2010-like virus 0.09 MG/ML [Flublok 2012-2013 Formula]
<http://purl.obolibrary.org/obo/VO_0003878>	Flublok 2013-2014 Formula
<http://purl.obolibrary.org/obo/VO_0003879>	Flublok 2013-2014 Formula Injectable Product
<http://purl.obolibrary.org/obo/VO_0003880>	Flublok 2013-2014 Formula Influenza Virus Vaccine Injectable Solution
<http://purl.obolibrary.org/obo/VO_0003881>	Influenza A virus vaccine, A-California-7-2009 (H1N1)-like virus 0.09 MG/ML / Influenza A virus vaccine, A-Victoria-361-2011 (H3N2)-like virus 0.09 MG/ML / Influenza B virus vaccine, B-Massachusetts-2-2012-like virus 0.09 MG/ML [Flublok 2013-2014 Formula]
<http://purl.obolibrary.org/obo/VO_0003882>	Flublok 2014-2015 Formula
<http://purl.obolibrary.org/obo/VO_0003883>	Flublok 2014-2015 Formula Injectable Product
<http://purl.obolibrary.org/obo/VO_0003884>	Flublok 2014-2015 Formula Influenza Virus Vaccine Injectable Solution
<http://purl.obolibrary.org/obo/VO_0003885>	Influenza A virus vaccine, A-California-7-2009 (H1N1)-like virus 0.09 MG/ML / Influenza A virus vaccine, A-Victoria-361-2011 (H3N2)-like virus 0.09 MG/ML / Influenza B virus vaccine, B-Massachusetts-2-2012-like virus 0.09 MG/ML [Flublok 2014-2015 Formula]
<http://purl.obolibrary.org/obo/VO_0003886>	Flublok 2015-2016
<http://purl.obolibrary.org/obo/VO_0003887>	Flublok 2015-2016 Injectable Product
<http://purl.obolibrary.org/obo/VO_0003888>	influenza A virus A/California/7/2009 (H1N1) antigen 0.09 MG/ML / influenza A virus A/Switzerland/9715293/2013 (H3N2) antigen 0.09 MG/ML / influenza B virus B/Phuket/3073/2013 antigen 0.09 MG/ML [Flublok 2015-2016]
<http://purl.obolibrary.org/obo/VO_0003889>	Flublok 2015-2016 vaccine 0.5 ML Injection
<http://purl.obolibrary.org/obo/VO_0003890>	Flublok 2016-2017
<http://purl.obolibrary.org/obo/VO_0003891>	Flublok 2016-2017 Injectable Product
<http://purl.obolibrary.org/obo/VO_0003892>	influenza A virus A/California/7/2009 (H1N1) antigen 0.09 MG/ML / influenza A virus A/Hong Kong/4801/2014 (H3N2) antigen 0.09 MG/ML / influenza B virus B/Brisbane/60/2008 antigen 0.09 MG/ML [Flublok 2016-2017]
<http://purl.obolibrary.org/obo/VO_0003893>	Flublok 2016-2017 vaccine 0.5 ML Injection
<http://purl.obolibrary.org/obo/VO_0003894>	Flublok 2017-2018
<http://purl.obolibrary.org/obo/VO_0003895>	Flublok 2017-2018 Injectable Product
<http://purl.obolibrary.org/obo/VO_0003896>	influenza A virus A/Hong Kong/4801/2014 (H3N2) antigen 0.09 MG/ML / influenza A virus A/Michigan/45/2015 (H1N1) antigen 0.09 MG/ML / influenza B virus B/Brisbane/60/2008 antigen 0.09 MG/ML [Flublok 2017-2018]
<http://purl.obolibrary.org/obo/VO_0003897>	Flublok 2017-2018 vaccine 0.5 ML Injection
<http://purl.obolibrary.org/obo/VO_0003898>	Flublok Quadrivalent 2017-2018
<http://purl.obolibrary.org/obo/VO_0003899>	Flublok Quadrivalent 2017-2018 Injectable Product
<http://purl.obolibrary.org/obo/VO_0003900>	influenza A virus A/Hong Kong/4801/2014 (H3N2) antigen 0.09 MG/ML / influenza A virus A/Michigan/45/2015 (H1N1) antigen 0.09 MG/ML / influenza B virus B/Brisbane/60/2008 antigen 0.09 MG/ML / influenza B virus B/Phuket/3073/2013 antigen 0.09 MG/ML [Flublok Quadrivalent 2017-2018]
<http://purl.obolibrary.org/obo/VO_0003901>	Flublok Quadrivalent 2017-2018 vaccine 0.5 ML Prefilled Syringe
<http://purl.obolibrary.org/obo/VO_0003902>	Flublok Quadrivalent 2017-2018 vaccine Prefilled Syringe
<http://purl.obolibrary.org/obo/VO_0003903>	Flublok Quadrivalent 2018-2019
<http://purl.obolibrary.org/obo/VO_0003904>	Flublok Quadrivalent 2018-2019 Injectable Product
<http://purl.obolibrary.org/obo/VO_0003905>	influenza A virus A/Michigan/45/2015 (H1N1) antigen 0.09 MG/ML / influenza A virus A/Singapore/INFIMH-16-0019/2016 (H3N2) antigen 0.09 MG/ML / influenza B virus B/Maryland/15/2016 antigen 0.09 MG/ML / influenza B virus B/Phuket/3073/2013 antigen 0.09 MG/ML [Flublok Quadrivalent 2018-2019]
<http://purl.obolibrary.org/obo/VO_0003906>	Flublok Quadrivalent 2018-2019 vaccine Prefilled Syringe
<http://purl.obolibrary.org/obo/VO_0003907>	Flublok Quadrivalent 2018-2019 vaccine 0.5 ML Prefilled Syringe
<http://purl.obolibrary.org/obo/VO_0003932>	Gardasil Injectable Product
<http://purl.obolibrary.org/obo/VO_0003933>	L1 protein, Human papillomavirus type 11 Vaccine 0.08 MG/ML / L1 protein, Human papillomavirus type 16 Vaccine 0.08 MG/ML / L1 protein, Human papillomavirus type 18 Vaccine 0.04 MG/ML / L1 protein, Human papillomavirus type 6 Vaccine 0.04 MG/ML [Gardasil]
<http://purl.obolibrary.org/obo/VO_0003934>	GARDASIL Injection
<http://purl.obolibrary.org/obo/VO_0003935>	GARDASIL 0.5 ML Injection
<http://purl.obolibrary.org/obo/VO_0003936>	GARDASIL Prefilled Syringe
<http://purl.obolibrary.org/obo/VO_0003937>	GARDASIL 0.5 ML Prefilled Syringe
<http://purl.obolibrary.org/obo/VO_0003944>	Cervarix Injectable Product
<http://purl.obolibrary.org/obo/VO_0003945>	Human papillomavirus type 16, L1 capsid protein (residues 2-471) vaccine 0.04 MG/ML / Human papillomavirus type 18, L1 capsid protein (residues 2-472) vaccine 0.04 MG/ML [Cervarix]
<http://purl.obolibrary.org/obo/VO_0003946>	CERVARIX Prefilled Syringe
<http://purl.obolibrary.org/obo/VO_0003947>	CERVARIX 0.5 ML Prefilled Syringe
<http://purl.obolibrary.org/obo/VO_0003951>	Ixiaro Injectable Product
<http://purl.obolibrary.org/obo/VO_0003952>	Japanese encephalitis virus vaccine Nakayama-NIH strain, inactivated 0.012 MG/ML [Ixiaro]
<http://purl.obolibrary.org/obo/VO_0003953>	Ixiaro (Japanese Encephalitis Vaccine, Inactivated, Adsorbed) Prefilled Syringe
<http://purl.obolibrary.org/obo/VO_0003954>	0.5 ML Ixiaro 0.012 MG/ML Prefilled Syringe
<http://purl.obolibrary.org/obo/VO_0003957>	Vaxchora Oral Product
<http://purl.obolibrary.org/obo/VO_0003958>	Infanrix Injectable Product
<http://purl.obolibrary.org/obo/VO_0003962>	Vaxchora Oral Suspension
<http://purl.obolibrary.org/obo/VO_0003963>	Vaxchora 1,200,000,000 UNT per 100 ML Oral Suspension
<http://purl.obolibrary.org/obo/VO_0003964>	vibrio cholerae CVD 103-HGR strain live antigen 12000000 UNT/ML [Vaxchora]
<http://purl.obolibrary.org/obo/VO_0003965>	Heplisav-B Injectable Product
<http://purl.obolibrary.org/obo/VO_0003966>	HEPLISAV-B Prefilled Syringe
<http://purl.obolibrary.org/obo/VO_0003967>	HEPLISAV-B 20 MCG per 0.5 ML Prefilled Syringe
<http://purl.obolibrary.org/obo/VO_0003968>	Hepatitis B Surface Antigen Vaccine 0.04 MG/ML [Heplisav-B]
<http://purl.obolibrary.org/obo/VO_0003969>	Haemophilus influenzae type b, capsular polysaccharide inactivated tetanus toxoid conjugate vaccine 68 UNT/ML
<http://purl.obolibrary.org/obo/VO_0003970>	Pentacel Injectable Product
<http://purl.obolibrary.org/obo/VO_0003971>	acellular pertussis vaccine, inactivated 96 UNT/ML / diphtheria toxoid vaccine, inactivated 30 UNT/ML / Haemophilus influenzae type b, capsular polysaccharide inactivated tetanus toxoid conjugate vaccine 68 UNT/ML / poliovirus vaccine inactivated, type 1 (Mahoney) 80 UNT/ML / poliovirus vaccine inactivated, type 2 (MEF-1) 16 UNT/ML / poliovirus vaccine inactivated, type 3 (Saukett) 64 UNT/ML / tetanus toxoid vaccine, inactivated 20 UNT/ML [Pentacel]
<http://purl.obolibrary.org/obo/VO_0003972>	Pentacel vaccine Injection
<http://purl.obolibrary.org/obo/VO_0003973>	Pentacel vaccine 0.5 ML Injection
<http://purl.obolibrary.org/obo/VO_0003974>	Kinrix Injectable Product
<http://purl.obolibrary.org/obo/VO_0003975>	acellular pertussis vaccine, inactivated 0.116 MG/ML / diphtheria toxoid vaccine, inactivated 50 UNT/ML / poliovirus vaccine inactivated, type 1 (Mahoney) 80 UNT/ML / poliovirus vaccine inactivated, type 2 (MEF-1) 16 UNT/ML / poliovirus vaccine inactivated, type 3 (Saukett) 64 UNT/ML / tetanus toxoid vaccine, inactivated 20 UNT/ML [Kinrix]
<http://purl.obolibrary.org/obo/VO_0003976>	Bordetella pertussis filamentous hemagglutinin vaccine, inactivated 0.05 MG/ML / Bordetella pertussis pertactin vaccine, inactivated 0.016 MG/ML / Bordetella pertussis toxoid vaccine, inactivated 0.05 MG/ML / diphtheria toxoid vaccine, inactivated 50 UNT/ML / poliovirus vaccine inactivated, type 1 (Mahoney) 80 UNT/ML / poliovirus vaccine inactivated, type 2 (MEF-1) 16 UNT/ML / poliovirus vaccine inactivated, type 3 (Saukett) 64 UNT/ML / tetanus toxoid vaccine, inactivated 20 UNT/ML [Kinrix]
<http://purl.obolibrary.org/obo/VO_0003977>	KINRIX vaccine Prefilled Syringe
<http://purl.obolibrary.org/obo/VO_0003978>	KINRIX vaccine 0.5 ML Prefilled Syringe
<http://purl.obolibrary.org/obo/VO_0003979>	KINRIX vaccine Injection
<http://purl.obolibrary.org/obo/VO_0003980>	KINRIX vaccine 0.5 ML Injection
<http://purl.obolibrary.org/obo/VO_0003981>	Daptacel Injectable Product
<http://purl.obolibrary.org/obo/VO_0003982>	Bordetella pertussis filamentous hemagglutinin vaccine, inactivated 0.01 MG/ML / Bordetella pertussis fimbriae 2/3 vaccine, inactivated 0.01 MG/ML / Bordetella pertussis pertactin vaccine, inactivated 0.006 MG/ML / Bordetella pertussis toxoid vaccine, inactivated 0.02 MG/ML / diphtheria toxoid vaccine, inactivated 30 UNT/ML / tetanus toxoid vaccine, inactivated 10 UNT/ML [Daptacel]
<http://purl.obolibrary.org/obo/VO_0003983>	DAPTACEL vaccine 0.5 ML Injection
<http://purl.obolibrary.org/obo/VO_0003984>	Adacel Injectable Product
<http://purl.obolibrary.org/obo/VO_0003985>	Bordetella pertussis filamentous hemagglutinin vaccine, inactivated 0.01 MG/ML / Bordetella pertussis fimbriae 2/3 vaccine, inactivated 0.01 MG/ML / Bordetella pertussis pertactin vaccine, inactivated 0.006 MG/ML / Bordetella pertussis toxoid vaccine, inactivated 0.005 MG/ML / diphtheria toxoid vaccine, inactivated 4 UNT/ML / tetanus toxoid vaccine, inactivated 10 UNT/ML [Adacel]
<http://purl.obolibrary.org/obo/VO_0003986>	Adacel Prefilled Syringe
<http://purl.obolibrary.org/obo/VO_0003987>	Adacel 0.5 ML Prefilled Syringe
<http://purl.obolibrary.org/obo/VO_0003988>	Adacel Injection
<http://purl.obolibrary.org/obo/VO_0003989>	Adacel 0.5 ML Injection
<http://purl.obolibrary.org/obo/VO_0003990>	Bordetella pertussis filamentous hemagglutinin vaccine, inactivated 0.05 MG/ML / Bordetella pertussis pertactin vaccine, inactivated 0.016 MG/ML / Bordetella pertussis toxoid vaccine, inactivated 0.05 MG/ML / diphtheria toxoid vaccine, inactivated 50 UNT/ML / tetanus toxoid vaccine, inactivated 20 UNT/ML [Infanrix]
<http://purl.obolibrary.org/obo/VO_0003991>	INFANRIX vaccine Injection
<http://purl.obolibrary.org/obo/VO_0003992>	INFANRIX vaccine 0.5 ML Injection
<http://purl.obolibrary.org/obo/VO_0003993>	INFANRIX vaccine Prefilled Syringe
<http://purl.obolibrary.org/obo/VO_0003994>	INFANRIX vaccine 0.5 ML Prefilled Syringe
<http://purl.obolibrary.org/obo/VO_0003995>	Boostrix Injectable Product
<http://purl.obolibrary.org/obo/VO_0003996>	Bordetella pertussis filamentous hemagglutinin vaccine, inactivated 0.016 MG/ML / Bordetella pertussis pertactin vaccine, inactivated 0.005 UNT/ML / Bordetella pertussis toxoid vaccine, inactivated 0.016 MG/ML / diphtheria toxoid vaccine, inactivated 5 UNT/ML / tetanus toxoid vaccine, inactivated 10 UNT/ML [Boostrix]
<http://purl.obolibrary.org/obo/VO_0003997>	Bordetella pertussis filamentous hemagglutinin vaccine, inactivated 0.016 MG/ML / Bordetella pertussis pertactin vaccine, inactivated 0.005 MG/ML / Bordetella pertussis toxoid vaccine, inactivated 0.016 MG/ML / diphtheria toxoid vaccine, inactivated 5 UNT/ML / tetanus toxoid vaccine, inactivated 10 UNT/ML [Boostrix]
<http://purl.obolibrary.org/obo/VO_0003998>	BOOSTRIX vaccine Injection
<http://purl.obolibrary.org/obo/VO_0003999>	BOOSTRIX vaccine 0.5 ML Injection
<http://purl.obolibrary.org/obo/VO_0004089>	ACAM1000
<http://purl.obolibrary.org/obo/VO_0004205>	BOOSTRIX vaccine Prefilled Syringe
<http://purl.obolibrary.org/obo/VO_0004206>	BOOSTRIX vaccine 0.5 ML Prefilled Syringe
<http://purl.obolibrary.org/obo/VO_0004215>	Biothrax Injectable Product
<http://purl.obolibrary.org/obo/VO_0004216>	BACILLUS ANTHRACIS STRAIN V770-NP1-R ANTIGENS 0.1 MG/ML [Biothrax]
<http://purl.obolibrary.org/obo/VO_0004218>	Biothrax Injectable Suspension
<http://purl.obolibrary.org/obo/VO_0004482>	Vaccinia virus DNA vaccine A33R from strain IHD-J
<http://purl.obolibrary.org/obo/VO_0004483>	Vaccinia virus DNA vaccine B5R
<http://purl.obolibrary.org/obo/VO_0004484>	Vaccinia virus DNA vaccine pWRG/L1R
<http://purl.obolibrary.org/obo/VO_0004485>	Vaccinia virus DNA vaccine 4pox
<http://purl.obolibrary.org/obo/VO_0004486>	Vaccinia virus DNA vaccine wtD8L
<http://purl.obolibrary.org/obo/VO_0004487>	Vaccinia virus DNA vaccine tPA-D8L
<http://purl.obolibrary.org/obo/VO_0004808>	APSV Wetvax
<http://purl.obolibrary.org/obo/VO_0004814>	Biothrax 0.5 ML Injectable Suspension
<http://purl.obolibrary.org/obo/VO_0004817>	Rotavirus Vaccine, Live Attenuated, G1P[8] Human 89-12 strain 1000000 UNT/ML [Rotarix]
<http://purl.obolibrary.org/obo/VO_0004818>	Rotarix, Rotavirus, live attenuated (RV1) G1P[8] Oral Vaccine
<http://purl.obolibrary.org/obo/VO_0004819>	Rotarix Oral Liquid Product
<http://purl.obolibrary.org/obo/VO_0004830>	RotaTeq Oral Liquid Product
<http://purl.obolibrary.org/obo/VO_0004831>	Human-Bovine Reassortant Rotavirus Strain G1 Vaccine 1100000 UNT/ML / Human-Bovine Reassortant Rotavirus Strain G2 Vaccine 1400000 UNT/ML / Human-Bovine Reassortant Rotavirus Strain G3 Vaccine 1100000 UNT/ML / Human-Bovine Reassortant Rotavirus Strain G4 Vaccine 1000000 UNT/ML / Human-Bovine Reassortant Rotavirus Strain P1A[8] Vaccine 1150000 UNT/ML [RotaTeq]
<http://purl.obolibrary.org/obo/VO_0004832>	RotaTeq, Rotavirus, live pentavalent (RV5) Oral Vaccine
<http://purl.obolibrary.org/obo/VO_0004833>	Quadracel Injectable Product
<http://purl.obolibrary.org/obo/VO_0004834>	Bordetella pertussis filamentous hemagglutinin vaccine, inactivated 0.04 MG/ML / Bordetella pertussis fimbriae 2/3 vaccine, inactivated 0.01 MG/ML / Bordetella pertussis pertactin vaccine, inactivated 0.006 MG/ML / Bordetella pertussis toxoid vaccine, inactivated 0.04 MG/ML / diphtheria toxoid vaccine, inactivated 30 UNT/ML / poliovirus vaccine inactivated, type 1 (Mahoney) 80 UNT/ML / poliovirus vaccine inactivated, type 2 (MEF-1) 16 UNT/ML / poliovirus vaccine inactivated, type 3 (Saukett) 64 UNT/ML / tetanus toxoid vaccine, inactivated 10 UNT/ML [Quadracel]
<http://purl.obolibrary.org/obo/VO_0004835>	Quadracel vaccine 0.5 ML Injection
<http://purl.obolibrary.org/obo/VO_0004844>	Menveo Injectable Product
<http://purl.obolibrary.org/obo/VO_0004845>	Neisseria meningitidis serogroup A oligosaccharide diphtheria CRM197 protein conjugate vaccine 0.02 MG/ML / Neisseria meningitidis serogroup C oligosaccharide diphtheria CRM197 protein conjugate vaccine 0.01 MG/ML / Neisseria meningitidis serogroup W-135 oligosaccharide diphtheria CRM197 protein conjugate vaccine 0.01 MG/ML / Neisseria meningitidis serogroup Y oligosaccharide diphtheria CRM197 protein conjugate vaccine 0.01 MG/ML [Menveo]
<http://purl.obolibrary.org/obo/VO_0004846>	MENVEO vaccine 0.5 ML Injection
<http://purl.obolibrary.org/obo/VO_0004847>	Trumenba Injectable Product
<http://purl.obolibrary.org/obo/VO_0004848>	Neisseria meningitidis serogroup B recombinant LP2086 A05 protein variant antigen 0.12 MG/ML / Neisseria meningitidis serogroup B recombinant LP2086 B01 protein variant antigen 0.12 MG/ML [Trumenba]
<http://purl.obolibrary.org/obo/VO_0004849>	Trumenba vaccine Prefilled Syringe
<http://purl.obolibrary.org/obo/VO_0004850>	Trumenba vaccine 0.5 ML Prefilled Syringe
<http://purl.obolibrary.org/obo/VO_0004851>	Bexsero Injectable Product
<http://purl.obolibrary.org/obo/VO_0004852>	meningococcal group B vaccine 0.1 MG/ML / Neisseria meningitidis serogroup B recombinant FHBP fusion protein antigen 0.1 MG/ML / Neisseria meningitidis serogroup B recombinant NHBA fusion protein antigen 0.1 MG/ML / Neisseria meningitidis serogroup B strain NZ98/254 outer membrane vesicle 0.05 MG/ML [Bexsero]
<http://purl.obolibrary.org/obo/VO_0004853>	BEXSERO vaccine 0.5 ML Prefilled Syringe
<http://purl.obolibrary.org/obo/VO_0004854>	smallpox vaccine live vaccinia virus
<http://purl.obolibrary.org/obo/VO_0004855>	smallpox vaccine live vaccinia virus 500000000 UNT/ML
<http://purl.obolibrary.org/obo/VO_0004856>	ACAM2000 Injectable Product
<http://purl.obolibrary.org/obo/VO_0004857>	ACAM2000 smallpox (vaccinia) vaccine, live Injectable Solution
<http://purl.obolibrary.org/obo/VO_0004858>	smallpox vaccine live vaccinia virus 500000000 UNT/ML [ACAM2000]
<http://purl.obolibrary.org/obo/VO_0004868>	Haemophilus influenzae type b strain 1482, capsular polysaccharide inactivated tetanus toxoid conjugate vaccine 0.005 MG/ML
<http://purl.obolibrary.org/obo/VO_0004870>	Menomune A/C/Y/W-135 Injectable Product
<http://purl.obolibrary.org/obo/VO_0004872>	Adenovirus Type 4 Vaccine Live Oral Product
<http://purl.obolibrary.org/obo/VO_0004873>	Adenovirus Type 4 Vaccine Live Pill
<http://purl.obolibrary.org/obo/VO_0004874>	Adenovirus Type 4 Vaccine Live Delayed Release Oral Tablet
<http://purl.obolibrary.org/obo/VO_0004875>	Adenovirus Type 4 Vaccine Live 32000 UNT Delayed Release Oral Tablet
<http://purl.obolibrary.org/obo/VO_0004876>	Adenovirus Type 4 Vaccine Live 32000 UNT
<http://purl.obolibrary.org/obo/VO_0004877>	Adenovirus Type 7 Vaccine Live Oral Product
<http://purl.obolibrary.org/obo/VO_0004878>	Adenovirus Type 7 Vaccine Live Pill
<http://purl.obolibrary.org/obo/VO_0004879>	Adenovirus Type 7 Vaccine Live Delayed Release Oral Tablet
<http://purl.obolibrary.org/obo/VO_0004880>	Adenovirus Type 7 Vaccine Live 32000 UNT Delayed Release Oral Tablet
<http://purl.obolibrary.org/obo/VO_0004881>	Adenovirus Type 7 Vaccine Live 32000 UNT
<http://purl.obolibrary.org/obo/VO_0004882>	meningococcal group A polysaccharide 0.1 MG/ML / meningococcal group C polysaccharide 0.1 MG/ML / MENINGOCOCCAL POLYSACCHARIDE VACCINE GROUP W-135 0.1 MG/ML / MENINGOCOCCAL POLYSACCHARIDE VACCINE GROUP Y 0.1 MG/ML [Menomune A/C/Y/W-135]
<http://purl.obolibrary.org/obo/VO_0004883>	Menomune A/C/Y/W-135 Vaccine Injection
<http://purl.obolibrary.org/obo/VO_0004884>	Menomune A/C/Y/W-135 Vaccine 0.5 ML Injection
<http://purl.obolibrary.org/obo/VO_0004885>	Menomune A/C/Y/W-135 Vaccine Injectable Solution
<http://purl.obolibrary.org/obo/VO_0004903>	Inactivated monovalent influenza A/H5N1 (3.75 mcg hemagglutinin [HA] A/Indonesia/05/2005) split-virus (SV) vaccine (Sanofi)
<http://purl.obolibrary.org/obo/VO_0004987>	Comirnaty
<http://purl.obolibrary.org/obo/VO_0004991>	COVAXIN
<http://purl.obolibrary.org/obo/VO_0004992>	CoVLP
<http://purl.obolibrary.org/obo/VO_0004994>	SCB-2019
<http://purl.obolibrary.org/obo/VO_0004995>	UB-612
<http://purl.obolibrary.org/obo/VO_0004996>	AdCLD-CoV19
<http://purl.obolibrary.org/obo/VO_0004999>	AKS-452
<http://purl.obolibrary.org/obo/VO_0005079>	AV-COVID-19
<http://purl.obolibrary.org/obo/VO_0005081>	BECOV2A
<http://purl.obolibrary.org/obo/VO_0005082>	Abdala
<http://purl.obolibrary.org/obo/VO_0005083>	CIGB-669
<http://purl.obolibrary.org/obo/VO_0005084>	KCONVAC
<http://purl.obolibrary.org/obo/VO_0005085>	VAT00002
<http://purl.obolibrary.org/obo/VO_0005087>	DelNS1-2019-nCoV-RBD-OPT1
<http://purl.obolibrary.org/obo/VO_0005088>	EpiVacCorona
<http://purl.obolibrary.org/obo/VO_0005089>	GLS-5310
<http://purl.obolibrary.org/obo/VO_0005090>	IIBR-100
